,symptom,question,isCorrectQ
0,Cниженное настроение,Часто ли вас беспокоит апатия?,1
1,Cниженное настроение,Беспокоит ли вас апатия?,1
2,Cниженное настроение,Вы когда-нибудь страдали от апатии?,1
3,Cниженное настроение,У вас бывает снижение настроения?,1
4,Cниженное настроение,У вас бывает апатия?,1
5,Cниженное настроение,"Подскажите, бывает ли у вас апатия? ",1
6,Cниженное настроение,Часто ли у вас бывает апатия?,1
7,Cниженное настроение,Вы отмечаете апатию?,1
8,Cниженное настроение,Не заметили ли вы у себя грусть?,1
9,Cниженное настроение,"Вы можете сказать, что у вас нет настроения?",1
10,Агрессивность,Выражена ли у вас агрессивность?,1
11,Агрессивность,Вас беспокоит избыточная агрессия?,1
12,Агрессивность,Возникает ли у вас агрессивность?,1
13,Агрессивность,Считаете ли вы себя агрессивным человеком?,1
14,Агрессивность,Вы агрессивны?,0
15,Агрессивность,Беспокоят ли вас эпизоды агрессивности?,1
16,Агрессивные мысли,Агрессивные мысли беспокоят вас?,1
17,Агрессивные мысли,Часто ли вас беспокоят агрессивные мысли?,1
18,Агрессивные мысли,А бывают ли у вас агрессивные мысли?,1
19,Агрессивные мысли,"Подскажите, бывают ли у вас агрессивные мысли?",1
20,Агрессивные мысли,"Опишите, бывают ли у вас агрессивные мысли?",1
21,Агрессивные мысли,У вас есть какие нибудь агрессивные мысли?,1
22,Агрессивные мысли,Вас когда-нибудь одолевали агрессивные мысли?,1
23,Агрессивные мысли,А агрессивные мысли бывают у вас?,1
24,Аллергические отеки,"Подскажите, бывают ли у вас аллергические отёки?",1
25,Аллергические отеки,Могут ли вас беспокоить аллергические отёки?,1
26,Аллергия,"Подскажите, бывает ли у вас аллергия?",1
27,Аллергия,"Подскажите, жалуетесь ли вы на аллергию?",1
28,Аллергия,Есть ли у вас аллергия?,1
29,Аллергия,Часто ли у вас возникает аллергия?,1
30,Аритмия,Есть ли у вас аритмия?,1
31,Аритмия,"Подскажите, беспокоит ли вас аритмия?",1
32,Аритмия,Возникает ли у вас аритмия?,1
33,Аритмия,"Подскажите, возникает ли у вас аритмия?",1
34,Аритмия,"Скажите, отмечаете ли вы у себя ощущение аритмии?",1
35,Аритмия,"Подскажите, жалуетесь ли вы на аритмию?",1
36,Аритмия,Бывает ли у вас аритмия?,1
37,Аритмия,Вас беспокоит аритмия?,1
38,Аритмия,"Подскажите пожалуйста, беспокоит ли вас аритмия?",1
39,Аритмия,"Подскажите, есть ли у вас аритмия?",1
40,Аритмия,Беспокоит ли вас ритм сердца?,1
